Suspicious Path Analysis Log
Scan Time: 2026-06-17 11:04:46.251736
=================================================================

ALL PROCESS PATHS:
-----------------------------------------------------------------
PID:19144 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:19196 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:19228 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:19304 | sihost.exe | Trusted | C:\Windows\System32\sihost.exe
PID:19660 | powershell.exe | Trusted | C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
PID:19876 | FnHotkeyCapsLKNumLK.exe | Trusted | C:\Windows\System32\DriverStore\FileRepository\lenovofnandfunctionkeys.inf_amd64_5e21bf389d23855a\FnHotkeyCapsLKNumLK.exe
PID:20224 | mscopilot.exe | Trusted | C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID:20284 | WmiApSrv.exe | Trusted | C:\Windows\System32\wbem\WmiApSrv.exe
PID:21076 | dwm.exe | Trusted | C:\Windows\System32\dwm.exe
PID:21156 | AMDRSSrcExt.exe | Trusted | C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.25.10201.0_x64__0a9344xs7nr4m\radeonsoftware\AMDRSSrcExt.exe
PID:21188 | OpenConsole.exe | Unknown | D:\VS CODE\Microsoft VS Code\6928394f91\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
PID:21228 | promecefpluginhost.exe | Unknown | C:\Users\BHUKAILASH\AppData\Local\Kingsoft\WPS Office\12.1.0.26880\office6\promecefpluginhost.exe
PID:21252 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:21484 | Code.exe | Unknown | D:\VS CODE\Microsoft VS Code\Code.exe
PID:21632 | Code.exe | Unknown | D:\VS CODE\Microsoft VS Code\Code.exe
PID:21708 | conhost.exe | Trusted | C:\Windows\System32\conhost.exe
PID:21748 | MessagingPlugin.exe | Unknown | C:\ProgramData\Lenovo\Udc\Hosts\x64\MessagingPlugin.exe
PID:21952 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:22120 | SearchHost.exe | Trusted | C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe
PID:22176 | AutoModeDetect.exe | Trusted | C:\Windows\System32\AutoModeDetect.exe
PID:22200 | Code.exe | Unknown | D:\VS CODE\Microsoft VS Code\Code.exe
PID:22468 | PushNotificationsLongRunningTask.exe | Trusted | C:\Program Files\WindowsApps\MicrosoftCorporationII.WinAppRuntime.Singleton_8002.1.3.0_x64__8wekyb3d8bbwe\PushNotificationsLongRunningTask.exe
PID:22532 | unsecapp.exe | Trusted | C:\Windows\System32\wbem\unsecapp.exe
PID:22592 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:22688 | SearchFilterHost.exe | Trusted | C:\Windows\System32\SearchFilterHost.exe
PID:22792 | conhost.exe | Trusted | C:\Windows\System32\conhost.exe
PID:22832 | SearchProtocolHost.exe | Trusted | C:\Windows\System32\SearchProtocolHost.exe
PID:23040 | mc-neo-host.exe | Unknown | C:\ProgramData\McAfee\wps\content\neo-core\26.5.0.127\mc-neo-host.exe
PID:23100 | OpenConsole.exe | Unknown | D:\VS CODE\Microsoft VS Code\6928394f91\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
PID:23116 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:23476 | SearchFilterHost.exe | Trusted | C:\Windows\System32\SearchFilterHost.exe
PID:23500 | ShellHost.exe | Trusted | C:\Windows\System32\ShellHost.exe
PID:23616 | Code.exe | Unknown | D:\VS CODE\Microsoft VS Code\Code.exe
PID:23644 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:23648 | powershell.exe | Trusted | C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
PID:23712 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
